Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,286.456390,287.523193,278.037109,281.176758,281.176758,12946080
2014-09-18,280.885315,281.075409,252.261856,258.426697,258.426697,20995616
2014-09-19,258.221497,259.372528,235.115875,242.429230,242.429230,23285047
2014-09-20,242.353699,259.929993,239.412338,251.092407,251.092407,22636536
2014-09-21,250.589493,253.255142,241.437515,244.570435,244.570435,16299809
2014-09-22,244.741531,249.061081,243.086243,245.679031,245.679031,14739813
2014-09-23,245.642380,269.472107,241.701431,265.872101,265.872101,27514794
2014-09-24,265.847717,265.921936,256.819122,259.269135,259.269135,18763523
2014-09-25,259.239105,259.366760,251.007172,252.035522,252.035522,16420330
2014-09-26,251.946716,254.173340,245.298950,248.907547,248.907547,13208271
2014-09-27,248.372726,250.260330,244.566727,245.888718,245.888718,9249938
2014-09-28,245.858566,246.810074,230.514191,232.282913,232.282913,14542000
2014-09-29,232.127121,236.805191,229.197708,231.213135,231.213135,20012131
2014-09-30,231.595551,241.165176,229.924271,238.692245,238.692245,21409721
2014-10-01,238.990189,241.785995,234.918869,236.989548,236.989548,16203990
2014-10-02,237.220001,237.565170,230.940628,232.156464,232.156464,13479636
2014-10-03,232.223938,235.045746,224.180298,225.215805,225.215805,19358015
2014-10-04,225.453857,228.332397,204.150833,206.017670,206.017670,29591242
2014-10-05,206.048981,214.120773,181.229080,200.820801,200.820801,52198055
2014-10-06,200.744995,215.627884,189.360367,205.387970,205.387970,49164208
2014-10-07,205.702209,211.487442,199.602631,209.019531,209.019531,30589343
2014-10-08,208.975372,219.203278,203.766571,218.403473,218.403473,33871472
2014-10-09,218.284637,237.261185,214.833801,226.471024,226.471024,51892979
2014-10-10,226.260712,232.628540,220.285217,224.921936,224.921936,27163732
2014-10-11,224.797516,228.423645,221.431412,225.380417,225.380417,8301835
2014-10-12,225.571381,235.819153,221.551483,235.269745,235.269745,10909136
2014-10-13,234.879425,247.184830,228.986343,243.051727,243.051727,21927037
2014-10-14,243.847336,256.270142,243.587921,252.278152,252.278152,24223725
2014-10-15,252.331650,252.988861,243.878052,246.949219,246.949219,15805767
2014-10-16,246.789688,249.269958,231.893341,237.730545,237.730545,16772309
2014-10-17,237.854843,239.531479,232.929398,238.462677,238.462677,8451314
2014-10-18,238.598160,245.546509,235.488098,243.237427,243.237427,7094264
2014-10-19,243.120605,244.789032,240.139816,242.119461,242.119461,3676157
2014-10-20,241.923660,242.438797,234.837036,236.997025,236.997025,10164046
2014-10-21,236.734543,243.124451,235.752151,239.897583,239.897583,8807510
2014-10-22,239.675980,241.096970,238.146530,238.861664,238.861664,7257215
2014-10-23,238.739487,240.069839,222.390182,223.689072,223.689072,16511826
2014-10-24,223.797668,226.498199,220.306168,222.740555,222.740555,9687779
2014-10-25,222.905884,223.682861,213.125946,215.857162,215.857162,11267715
2014-10-26,215.991425,223.285065,213.781082,220.477386,220.477386,7006775
2014-10-27,220.522751,222.283371,217.367172,218.948654,218.948654,8083984
2014-10-28,219.088821,223.342850,218.715652,221.586227,221.586227,4861441
2014-10-29,221.258438,221.733185,209.484619,209.731262,209.731262,11369726
2014-10-30,209.805023,219.265808,209.406906,215.856094,215.856094,18864724
2014-10-31,215.671066,217.555328,210.766434,211.516739,211.516739,7843326
2014-11-01,211.722412,212.897156,200.722092,203.656769,203.656769,10426508
2014-11-02,203.860596,205.720535,200.453903,204.077896,204.077896,5387701
2014-11-03,203.875641,209.208908,203.731216,205.054459,205.054459,8105984
2014-11-04,204.808441,207.237808,203.173126,206.518784,206.518784,9782853
2014-11-05,206.638138,215.022217,206.676880,212.683868,212.683868,12415236
2014-11-06,212.666336,222.958755,211.766479,220.539215,220.539215,11868291
2014-11-07,220.872574,222.853165,215.726822,215.721664,215.721664,10605556
2014-11-08,215.557236,218.630386,215.557236,217.657669,217.657669,5377351
2014-11-09,217.587097,228.925964,216.880875,228.755676,228.755676,15242821
2014-11-10,228.126587,236.447144,224.994339,231.541626,231.541626,19215056
2014-11-11,230.868301,234.294540,229.239929,230.906189,230.906189,9946558
2014-11-12,231.088287,271.938995,231.131836,268.637665,268.637665,29037356
2014-11-13,270.991943,289.904846,255.232239,268.018219,268.018219,37549369
2014-11-14,266.541595,267.073517,245.542084,253.920975,253.920975,18886321
2014-11-15,255.090317,258.842163,236.808578,240.079788,240.079788,10038616
2014-11-16,239.184280,249.440872,239.102570,247.642212,247.642212,7601098
2014-11-17,247.940369,262.510559,241.277008,247.766693,247.766693,26553338
2014-11-18,248.007797,250.928513,236.938644,240.111359,240.111359,20621080
2014-11-19,239.278122,247.537949,239.293442,242.855774,242.855774,12081557
2014-11-20,242.697510,243.778320,227.408386,228.054291,228.054291,16081320
2014-11-21,228.079147,228.050079,219.445190,224.126740,224.126740,19068672
2014-11-22,224.609680,233.065674,224.145905,225.450378,225.450378,9756611
2014-11-23,225.613251,237.037399,225.613251,234.976028,234.976028,9685865
